type,title,link
cheatsheet,Rstudio IDE,https://www.rstudio.com/wp-content/uploads/2016/01/rstudio-IDE-cheatsheet.pdf
cheatsheet,R Markdown,https://www.rstudio.com/wp-content/uploads/2015/02/rmarkdown-cheatsheet.pdf
cheatsheet,Data Wrangling,https://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf
cheatsheet,ggplot2,https://www.rstudio.com/wp-content/uploads/2016/11/ggplot2-cheatsheet-2.1.pdf
cheatsheet,Summaries and Distributions,reference/SummariesAndDistributions.html
cheatsheet,Assumptions and Conditions for Hypothesis Tests and Confidence Intervals,http://www.b-g.k12.ky.us/userfiles/1525/Classes/33386/Conditions%20of%20Tests.08-09%20rev%201.pdf
code,cm041 - Sampling Distributions,slides/cm041_code_along.Rmd
code,Perfect t-test,https://github.com/Lakens/perfect-t-test
code,cm045 - Power for one-sample t-test,slides/cm045_code_along.R
data,beerhall.dat,data/beerhall.dat
data,Superhero.csv,data/Superhero.csv
data,fishermen_mercury.csv,data/fishermen_mercury.csv
data,indicator_age_of_marriage.xlsx,data/indicator_age_of_marriage.xlsx
data,indicator_alcohol_consumption _20100830.xlsx,data/indicator_alcohol_consumption _20100830.xlsx
data,Internet_user_per_100.xlsx,data/Internet_user_per_100.xlsx
data,bakers_dozen.csv,data/bakers_dozen.csv
data,male_heights.csv,data/male_heights.csv
data,cadds.csv,data/cadds.csv
reference,Multicollinearity,https://www3.nd.edu/~rwilliam/stats1/x91.pdf
reference,Hat Matrix,http://www.stat.ucla.edu/~cocteau/stat201b/handout/hat.pdf
reference,pmf and pdfs,http://www.stat.tamu.edu/~twehrly/611/distab.pdf
reference,Contrasts: Examples with ANOVA and Linear Models,https://rstudio-pubs-static.s3.amazonaws.com/84177_4604ecc1bae246c9926865db53b6cc29.html
reference,An R Companion for the Handbook of Biological Statistics,https://rcompanion.org/rcompanion/h_01.html
reference,All of Stats,reference/Wasserman-all_of_stats.pdf
reference,DataCamp Tidyverse Tutorials,https://www.datacamp.com/tidyverse-tutorials/
reference,R Blog,https://rweekly.org/
reference,R Basics,https://ismayc.github.io/rbasics-book/index.html
reference,Reprex - Do's and Don'ts,https://reprex.tidyverse.org/articles/reprex-dos-and-donts.html
reference,Measures of central tendency: The mean,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3127352/
reference,Same Stats - Different Graphs,https://www.autodeskresearch.com/publications/samestats
